Date,Open,High,Low,Close,Adjusted_close,Volume,SMA5,SMA21,SMA50,MACD,MACDS,RSI,ATRts,ATRts1,Gap,Price_Retrace,Macd_Retrace
2010-04-22,258.24,266.75,256.2,266.4695,33.044000000000004,28336545,252.9499,241.455928571428,226.258795744681,8.785916286416839,7.44077812600722,85.5690743074791,245.59808026642003,248.991568843359,0.980000000000018,0,0
2010-04-23,267.99,272.18,267.0,270.83,33.5847,28462622,257.6359,243.430214285714,227.1873625,9.91521090002891,7.93566468081156,87.04330641273407,251.430571347929,255.121755074687,1.5205000000000302,0,0
2010-04-26,271.88,272.46,268.19,269.5,33.4197,17109573,262.1219,245.47069047619,228.050885714286,10.5808951596962,8.46471077658849,84.2173007630857,255.875813420381,260.03865405975,1.05000000000001,0,0
2010-04-27,267.27,267.84,260.52,262.04,32.4942,25333632,265.6119,246.953547619048,228.730668,10.3867629396669,8.849121209204169,70.40906767365091,255.875813420381,260.03865405975,2.23000000000002,-1,-1
2010-04-28,263.25,264.0,256.41,261.6,32.4399,27085710,266.0879,248.3445,229.894668,10.081197662553699,9.09553649987409,69.6833555477876,255.875813420381,260.03865405975,1.20999999999998,0,0
2010-04-29,263.02,270.0,262.01,268.64,33.3125,19958535,266.522,249.906166666667,231.216468,10.288504665812,9.33413013306167,74.25554443798251,255.875813420381,260.03865405975,1.41999999999996,0,0
2010-04-30,269.31,270.57,261.0,261.09,32.3767,19373668,264.574,251.148547619048,232.379708,9.73139756391109,9.41358361923156,63.240261291895706,255.875813420381,260.03865405975,0.670000000000016,0,0
2010-05-03,263.84,267.88,262.88,266.35,33.0289,16226433,263.944,252.595214285714,233.673308,9.603619662833037,9.45159082795185,66.9218209926003,255.875813420381,260.03865405975,2.75,0,0
2010-05-04,262.89,263.29,256.75,258.68,32.0778,25850690,263.272,253.55664285714298,234.838588,8.78221396070256,9.317715454502,57.8271765838538,255.875813420381,260.03865405975,3.46000000000004,0,0
2010-05-05,253.03,258.14,248.73,255.985,31.7437,31539398,262.149,254.339738095238,236.017108,7.82359451931026,9.018891267463651,54.9989112237457,255.875813420381,270.731624856129,5.650000000000008,0,0
2010-05-06,253.83,258.25,199.25,246.25,30.5363,45923556,257.671,254.608785714286,236.928988,6.20680043252926,8.456473100476767,46.2074334501389,255.875813420381,268.611299884903,2.155,0,0
2010-05-07,243.71,246.57,225.21,235.86,29.2482,59857756,252.625,254.414023809524,237.606188,4.04051674137577,7.57328182865657,39.035561928263796,279.258467457963,268.611299884903,2.5399999999999903,0,0
2010-05-10,250.25,254.65,248.53,253.99,31.4961,35153744,250.153,254.994976190476,238.593588,3.74350796065576,6.80732705505641,52.8017448940285,271.134193295967,264.508831926338,14.39,0,0
2010-05-11,251.84,259.89,250.5,256.52,31.8098,30369687,249.721,255.67259523809503,239.544188,3.66997107592465,6.1798558592300585,54.350836796064605,271.134193295967,264.508831926338,2.15000000000001,0,0
2010-05-12,259.245,263.13,258.7,262.09,32.5007,23370625,250.942,256.608785714286,240.608988,4.01486415967179,5.74685751931841,57.646620256124,271.134193295967,264.508831926338,2.72500000000002,0,1
2010-05-13,263.22,265.0,256.4,258.36,32.0383,21418218,253.364,257.212119047619,241.589588,3.94177624340904,5.3858412641365305,54.7936677555531,271.134193295967,264.508831926338,1.13000000000005,-1,0
2010-05-14,255.165,256.48,249.5,253.82,31.4752,27120051,256.956,257.445452380952,242.451788,3.4774278617968304,5.004158583668589,51.455672942279605,271.134193295967,264.508831926338,3.1950000000000203,0,0
2010-05-17,254.7,256.18,247.71,254.22,31.525,27244036,257.002,257.770214285714,243.157188,3.1059021740744304,4.62450730174976,51.734657075088606,271.134193295967,264.508831926338,0.8799999999999949,0,0
2010-05-18,256.98,258.55,250.26,252.36,31.2939,27952708,256.17,258.022119047619,243.822788,2.63104982985806,4.225815807371419,50.287425410375,271.134193295967,264.508831926338,2.76000000000002,0,0
2010-05-19,249.5,252.92,244.85,248.34,30.7954,36633058,253.42,258.20069047619,244.329188,1.90834728290955,3.76232210247904,47.2133196073319,271.134193295967,264.508831926338,2.8600000000000096,0,0
2010-05-20,241.88,243.85,236.21,237.76,29.4834,45818391,249.3,257.178785714286,244.587588,0.476391187346906,3.10513591945262,40.2410658839317,271.134193295967,264.17139408415903,6.46000000000001,0,0
2010-05-21,232.82,244.5,231.35,242.32,30.0489,43710965,247.0,256.028809523809,244.923988,-0.287180012166232,2.42667273312885,44.0744535437323,265.76004477652305,254.064115267327,4.94,0,0
2010-05-24,247.28,250.9,246.26,246.76,30.5996,26937337,245.508,254.88261904761902,245.327188,-0.5279588150649489,1.83574642349009,47.599144818018,265.76004477652305,254.064115267327,4.96000000000001,0,0
2010-05-25,239.35,246.76,237.16,245.22,30.4087,37429051,244.08,253.726428571428,245.754788,-0.8334355544863,1.30191002789481,46.5043644654351,265.76004477652305,254.064115267327,7.41,0,0
2010-05-26,250.08,252.13,243.75,244.109,30.271,30380592,243.2338,252.872571428571,246.147968,-1.1518981217880702,0.811148397958235,45.687955823222104,265.76004477652305,254.064115267327,4.860000000000009,0,0
2010-05-27,250.6,253.89,249.11,253.35,31.4171,23796477,246.3518,252.479714285714,246.732568,-0.6511049979158089,0.5186977187834261,53.0681993374904,265.76004477652305,254.064115267327,6.490999999999992,0,1
2010-05-28,259.3881,259.4,253.35,256.88,31.8544,29129031,249.2638,251.919714285714,247.377168,0.030269728740990005,0.421012120774939,55.5528150191637,265.76004477652305,254.064115267327,6.03810000000001,0,0
2010-06-01,259.69,265.94,258.96,260.83,32.3446,31302626,252.0778,251.907333333333,248.14877,0.8788650874750491,0.512582714114961,58.2183516072507,265.76004477652305,243.01300600736198,2.81,0,0
2010-06-02,264.54,264.8,260.335,263.95,32.7314,24590932,255.8238,251.793047619048,248.93277,1.78259233334961,0.766584637961891,60.246314335082594,265.76004477652305,247.01840480588902,3.71000000000004,0,0
2010-06-03,265.18,265.55,260.41,263.12,32.6285,23219902,259.626,252.004476190476,249.62797,2.40411547660346,1.09409080569021,59.4200564058677,265.76004477652305,251.561223844712,1.23000000000002,0,0
2010-06-04,258.21,261.9,254.63,255.965,31.7412,27087206,260.149,252.003523809524,250.15987,2.2928972500747,1.3338520945671102,52.7090647853839,265.76004477652305,251.666979075769,4.91000000000003,-1,-1
2010-06-07,258.29,259.15,250.55,250.94,31.1181,31677934,258.961,252.22685714285703,250.64567,1.77877587886184,1.42283685142605,48.560939819565895,265.76004477652305,251.666979075769,2.32500000000002,0,0
2010-06-08,253.24,253.8,245.65,249.33,30.9179,35741717,256.661,252.868285714286,251.01427,1.22727023612967,1.38372352836678,47.2771546769763,265.76004477652305,262.887533391508,2.30000000000001,0,0
2010-06-09,251.47,251.9,242.49,243.2,30.1581,30522453,252.511,252.354476190476,251.23047000000003,0.292190085999039,1.16541683989323,42.6535592950704,265.76004477652305,261.333026713206,2.13999999999999,0,0
2010-06-10,244.84,250.98,242.2,250.51,31.0647,27726991,249.989,252.068285714286,251.52377,0.139381534346825,0.9602097787839472,49.0523019258793,265.211528214973,255.625421370565,1.64000000000001,0,0
2010-06-11,248.225,253.86,247.37,253.51,31.4367,19491412,249.498,251.659714285714,251.89397,0.25738758038176,0.8196453391035101,51.4466954490162,265.211528214973,255.625421370565,2.285,1,1
2010-06-14,255.96,259.15,254.01,254.28,31.5322,21534300,250.166,251.465428571429,252.26017,0.408333769379112,0.73738302515863,52.0693376419784,265.211528214973,255.625421370565,2.45000000000002,0,0
2010-06-15,255.64,259.85,255.5,259.69,32.2031,20895471,252.238,251.744952380952,252.68417,0.953510028344226,0.7806084257957501,56.30874809062961,265.211528214973,255.625421370565,1.35999999999999,0,0
2010-06-16,261.1,267.75,260.6302,267.25,33.1406,27988910,257.048,252.365428571429,253.23837000000003,1.97285313689702,1.019057368016,61.4411986432384,265.211528214973,248.981259406617,1.41000000000003,0,0
2010-06-17,270.6,272.9,269.5,271.87,33.7134,31195033,261.32,253.294476190476,253.86377,3.11754812921734,1.4387555202562698,64.2082550975878,247.394373206181,256.265007525293,3.35000000000002,0,0
2010-06-18,272.25,275.0,271.42,274.074,33.9864,28022135,265.4328,254.519904761905,254.54625,4.15467898497576,1.9819402132001696,65.4809028676934,252.651109516605,261.387006020235,0.379999999999995,0,0
2010-06-21,277.69,279.01,268.73,270.17,33.5025,27731779,268.6108,256.063238095238,255.11385,4.6084689262683,2.50724595581379,61.3215893804514,255.996097348093,264.613604816188,3.6159999999999903,-1,0
2010-06-22,272.16,275.97,271.5,273.85,33.959,25616428,271.4428,257.564666666667,255.74505,5.20504544521521,3.0468058536940803,63.664525888968896,255.996097348093,264.613604816188,1.9900000000000104,0,0
2010-06-23,274.58,274.66,267.9,270.97,33.602,27444819,272.1868,258.717523809524,256.31585,5.38338835384638,3.51412235372454,60.5721366996536,255.996097348093,264.613604816188,0.729999999999961,0,0
2010-06-24,271.0,273.195,268.1,269.0,33.3574,25540402,271.6128,259.849904761905,256.78205,5.30461555173292,3.872220993326221,58.479663408836004,255.996097348093,264.613604816188,0.029999999999973,0,-1
2010-06-25,270.06,270.27,265.81,266.7,33.0723,19640753,270.138,260.925666666667,257.13765,4.99897172612572,4.09757113988612,56.0453692475471,255.996097348093,264.613604816188,1.06,0,0
2010-06-28,266.93,269.75,264.52,268.3,33.2709,20908322,269.764,261.637571428571,257.55565,4.83017417926965,4.24409174776282,57.3746389132344,255.996097348093,264.613604816188,0.230000000000018,0,0
2010-06-29,264.1205,264.39,254.3,256.17,31.7666,40476590,266.228,261.603761904762,257.73765,3.67524534137078,4.13032246648442,46.0135554154837,255.996097348093,264.613604816188,4.17950000000002,0,0
2010-06-30,256.71,257.97,250.01,251.53,31.1914,26409580,262.34,261.160904761905,257.87645,2.35836097730333,3.7759301686482,42.5432159021089,255.996097348093,267.457384764052,0.5399999999999641,0,0
